month,cnt
2020-01-01 00:00:00+00:00,830
2020-02-01 00:00:00+00:00,762
2020-03-01 00:00:00+00:00,528
2020-04-01 00:00:00+00:00,298
2020-05-01 00:00:00+00:00,398
2020-06-01 00:00:00+00:00,506
2020-07-01 00:00:00+00:00,508
2020-08-01 00:00:00+00:00,476
2020-09-01 00:00:00+00:00,502
2020-10-01 00:00:00+00:00,534
2020-11-01 00:00:00+00:00,512
2020-12-01 00:00:00+00:00,548
2021-01-01 00:00:00+00:00,512
2021-02-01 00:00:00+00:00,518
2021-03-01 00:00:00+00:00,554
2021-04-01 00:00:00+00:00,602
2021-05-01 00:00:00+00:00,636
2021-06-01 00:00:00+00:00,646
2021-07-01 00:00:00+00:00,664
2021-08-01 00:00:00+00:00,752
2021-09-01 00:00:00+00:00,692
2021-10-01 00:00:00+00:00,828
2021-11-01 00:00:00+00:00,844
2021-12-01 00:00:00+00:00,756
2022-01-01 00:00:00+00:00,614
2022-02-01 00:00:00+00:00,550
2022-03-01 00:00:00+00:00,698
2022-04-01 00:00:00+00:00,656
2022-05-01 00:00:00+00:00,798
2022-06-01 00:00:00+00:00,730
2022-07-01 00:00:00+00:00,702
2022-08-01 00:00:00+00:00,684
2022-09-01 00:00:00+00:00,742
2022-10-01 00:00:00+00:00,924
2022-11-01 00:00:00+00:00,662
2022-12-01 00:00:00+00:00,854
2023-01-01 00:00:00+00:00,716
2023-02-01 00:00:00+00:00,654
2023-03-01 00:00:00+00:00,768
2023-04-01 00:00:00+00:00,666
2023-05-01 00:00:00+00:00,728
2023-06-01 00:00:00+00:00,658
2023-07-01 00:00:00+00:00,636
2023-08-01 00:00:00+00:00,722
2023-09-01 00:00:00+00:00,708
2023-10-01 00:00:00+00:00,902
2023-11-01 00:00:00+00:00,832
2023-12-01 00:00:00+00:00,816
2024-01-01 00:00:00+00:00,674
2024-02-01 00:00:00+00:00,720
2024-03-01 00:00:00+00:00,662
2024-04-01 00:00:00+00:00,766
2024-05-01 00:00:00+00:00,786
2024-06-01 00:00:00+00:00,754
2024-07-01 00:00:00+00:00,658
2024-08-01 00:00:00+00:00,710
2024-09-01 00:00:00+00:00,768
2024-10-01 00:00:00+00:00,834
2024-11-01 00:00:00+00:00,748
2024-12-01 00:00:00+00:00,772
2025-01-01 00:00:00+00:00,702
2025-02-01 00:00:00+00:00,604
2025-03-01 00:00:00+00:00,726
2025-04-01 00:00:00+00:00,714
2025-05-01 00:00:00+00:00,686
2025-06-01 00:00:00+00:00,668
2025-07-01 00:00:00+00:00,674
2025-08-01 00:00:00+00:00,700
2025-09-01 00:00:00+00:00,676
2025-10-01 00:00:00+00:00,316
