hour,avg_flow,avg_congestion,avg_saturation
0.0,17.914606741573035,0.13288543959226226,4.772269199582995
1.0,14.382917801522453,0.12852387270991922,4.021207253765393
2.0,12.592881863249461,0.1685062201852025,3.63265831072865
3.0,13.116743578986622,0.1452477508973104,4.0654453922528315
4.0,25.55565826265801,0.15963764934254615,6.284126360548147
5.0,74.02554988806057,0.13961271262723013,13.204422184780853
6.0,140.91546315886302,0.39320209732315337,22.3519685401527
7.0,195.73953648462597,1.7527535566773749,35.70683799908215
8.0,186.12172083342864,0.7694805937378496,32.671934679688036
9.0,181.8916088702318,0.24215185252783356,31.22515513779887
10.0,204.03786297640653,0.4185798548094374,35.56018602540835
11.0,220.57899870698455,0.6920127940475921,39.20595240795772
12.0,231.86249603048586,0.9408428979721454,41.93269972326816
13.0,238.78838475499091,1.2441923774954629,43.650589836660615
14.0,241.60107119351838,1.5368449719719492,43.842475546376775
15.0,239.71495019626528,1.5964876454972432,43.66768769995235
16.0,228.91249914638865,1.7092030684482484,42.82725182672828
17.0,203.16661343310824,0.9155411571454645,36.19686530388757
18.0,171.27993885606077,0.2810796011955009,29.188770504893796
19.0,128.06041524070272,0.05897786903947068,23.092174309833446
20.0,88.47212082496806,0.02641905457200219,16.947025004562878
21.0,57.468585077343036,0.04290263876251137,11.649135577797999
22.0,36.650953882449016,0.07538053217793707,8.236213506340313
23.0,25.427739726027397,0.10340182648401826,6.534657534246575
